Title,Description,Priority,Labels,Assignee
"NEET-1 Repo & workspace bootstrap","Initialize monorepo layout, main+develop branches, protection, Linear link.",1,"chore,devops,MVP,M0","PM"
"NEET-2 CI baseline","GH Actions lint/typecheck/test for web, backend, mobile.",1,"chore,devops,MVP,M0","I-BE-1"
"NEET-3 Env & secrets setup","Finalize env examples, secrets, docs.",2,"chore,docs,MVP,M0","PM"
"NEET-4 Mongo + health","Mongoose connection, /api/health.",1,"feature,backend,MVP,M0","I-BE-1"
"NEET-5 Express base + errors","App setup, error middleware, logger.",1,"feature,backend,MVP,M0","I-BE-1"
"NEET-6 React skeleton","Vite+React+TS+Tailwind+Antd, routes, auth guard.",1,"feature,web,MVP,M0","I-WEB-1"
"NEET-7 Flutter skeleton","Flutter with GoRouter, Riverpod, theme, placeholder screens.",1,"feature,mobile,MVP,M0","I-MOB-1"
"NEET-8 Design tokens","Colors, spacing, typography documented and applied.",2,"chore,docs,MVP,M0,good-first-issue","I-WEB-2"
"NEET-9 User model + hashing","User collection, bcrypt.",1,"feature,backend,MVP,M0","I-BE-1"
"NEET-10 Auth register","POST /api/auth/register.",1,"feature,backend,MVP,M0","I-BE-1"
"NEET-11 Auth login/refresh/logout","Login+refresh rotation+logout, rate limited.",1,"feature,backend,MVP,M0","I-BE-1"
"NEET-12 Web auth pages","Login, register, forgot-password stub.",1,"feature,web,MVP,M0","I-WEB-1"
"NEET-13 Mobile auth screens","Login, register, secure token storage.",1,"feature,mobile,MVP,M0","I-MOB-1"
"NEET-14 Taxonomy models","Subject/Chapter/Topic + seed.",2,"feature,backend,MVP,M1","I-BE-2"
"NEET-15 Question CRUD","Question schema + admin endpoints.",2,"feature,backend,MVP,M1","I-BE-2"
"NEET-16 Daily quiz generation","Cron assembler, idempotent.",2,"feature,backend,MVP,M1","I-BE-2"
"NEET-17 Today quiz + attempts","GET today, POST attempt, scoring.",2,"feature,backend,MVP,M1","I-BE-2"
"NEET-18 Web daily quiz UI","Timer, navigation, submit, result.",2,"feature,web,MVP,M1","I-WEB-2"
"NEET-19 Mobile daily quiz UI","Timer, submit, result.",2,"feature,mobile,MVP,M1","I-MOB-2"
"NEET-20 Streak logic","IST-based, daily reset job.",2,"feature,backend,MVP,M1","I-BE-1"
"NEET-21 Weekly/Monthly quizzes","Kinds + rank/percentile.",2,"feature,backend,MVP,M2","I-BE-2"
"NEET-22 Chapter/Subject/Mock tests","Template-driven test assembly.",2,"feature,backend,MVP,M2","I-BE-2"
"NEET-23 Attempt analytics","Compute breakdown on submission.",2,"feature,backend,MVP,M2","I-BE-3"
"NEET-24 Analytics UI (web)","Charts, filters, empty states.",2,"feature,web,MVP,M2","I-WEB-2"
"NEET-25 Analytics UI (mobile)","fl_chart, empty states.",3,"feature,mobile,MVP,M2","I-MOB-2"
"NEET-26 Leaderboards backend","Compute + endpoints per kind.",3,"feature,backend,MVP,M2","I-BE-3"
"NEET-27 Leaderboards UI","Web + mobile leaderboard screens.",3,"feature,web,mobile,MVP,M2","I-WEB-2,I-MOB-2"
"NEET-28 AI provider wrapper","Anthropic first, retryable.",2,"feature,backend,MVP,M3","I-BE-3"
"NEET-29 Doubt quota (5/day)","Atomic counter + reset.",2,"feature,backend,MVP,M3","I-BE-3"
"NEET-30 Web AI doubt UI","Chat panel, markdown/LaTeX, feedback.",2,"feature,web,MVP,M3","I-WEB-2"
"NEET-31 Mobile AI doubt UI","Chat, markdown, feedback.",3,"feature,mobile,MVP,M3","I-MOB-2"
"NEET-32 Notifications backend","Model, fanout, inbox endpoints.",3,"feature,backend,MVP,M3","I-BE-3"
"NEET-33 Daily quiz reminder","Email + in-app at 07:00 IST.",3,"feature,backend,MVP,M3","I-BE-3"
"NEET-34 Web notification bell","Bell + inbox drawer.",3,"feature,web,MVP,M3,good-first-issue","I-WEB-1"
"NEET-35 Mobile push","FCM, permission, delivery.",3,"feature,mobile,MVP,M3","I-MOB-1"
"NEET-36 Admin console shell","Role-guarded /admin.",2,"feature,web,MVP,M4","I-WEB-1"
"NEET-37 Admin question CRUD UI","Table, filters, edit modal.",2,"feature,web,MVP,M4","I-WEB-2"
"NEET-38 AI question generation","Backend endpoint + storage.",2,"feature,backend,MVP,M4","I-BE-3"
"NEET-39 AI question validation","Score + issues + recommendation.",2,"feature,backend,MVP,M4","I-BE-3"
"NEET-40 AI test generation","Template-driven assembly.",2,"feature,backend,MVP,M4","I-BE-3"
"NEET-41 Admin AI generation UI","UI for 38/39/40.",2,"feature,web,MVP,M4","I-WEB-2"
"NEET-42 Rate-limiting","Global + per-user rate limits.",2,"feature,backend,MVP,M4","I-BE-1"
"NEET-43 Sentry integration","Web + backend + mobile.",3,"chore,devops,MVP,M4","I-BE-1"
"NEET-44 Backend deploy","Choose host, deploy, secrets.",2,"chore,devops,MVP,M4","PM,I-BE-1"
"NEET-45 Web deploy","Vercel/Netlify, previews.",2,"chore,devops,MVP,M4","PM,I-WEB-1"
"NEET-46 Spike: CSV import","Investigate, propose approach.",3,"spike,backend,MVP,M4","I-BE-2"
"NEET-100 GenAI service scaffold","Python env, provider wrapper, structured outputs, manifest loader.",2,"feature,ml,MVP,M-AI","I-ML-1"
"NEET-101 Prompt bundle publish","Build+load JSON bundle in backend on boot.",2,"feature,ml,backend,MVP,M-AI","I-ML-1,I-BE-3"
"NEET-102 Doubt-solver v1 + eval","Prompt, gold set, LLM-as-judge scoring.",2,"feature,ml,eval,MVP,M-AI","I-ML-1"
"NEET-103 Q generation + schema","Prompt + pydantic schema, self-repair retry.",2,"feature,ml,MVP,M-AI","I-ML-2"
"NEET-104 Validation judge + panel","Deterministic judge, majority vote, backfill.",2,"feature,ml,eval,MVP,M-AI","I-ML-2"
"NEET-105 Test assembly + checker","Prompt + Python post-check for distribution.",2,"feature,ml,MVP,M-AI","I-ML-2"
"NEET-106 Embeddings dedupe","Backfill embeddings, similarity endpoint.",2,"feature,ml,MVP,M-AI","I-ML-3"
"NEET-107 RAG grounding","Ingest syllabus, retrieve at generation.",2,"feature,ml,MVP,M-AI","I-ML-1,I-ML-3"
"NEET-108 Guardrails + PII scrub","Scrub, post-call safety judge, jailbreak eval.",2,"feature,ml,backend,MVP,M-AI","I-ML-3"
"NEET-109 Weak-topic brief","Nightly LLM brief per user; drive quiz builder.",3,"feature,ml,MVP,M-AI","I-ML-3"
"NEET-110 Nightly eval + alerts","GH Action + regression pings.",3,"chore,ml,devops,MVP,M-AI","I-ML-1"
"NEET-111 Prompt-change PR gate","Fail PR if prompt changes without new eval.",3,"chore,ml,devops,MVP,M-AI","I-ML-1"
"NEET-112 Cost + latency dashboard","Log tokens/latency/cost; internal report.",3,"chore,ml,MVP,M-AI","I-ML-3"
